SMILES,Cluster_at_cutoff_0.2,Cluster_at_cutoff_0.3,Cluster_at_cutoff_0.25,Cluster_at_cutoff_0.35,Cluster_at_cutoff_0.4,Cluster_at_cutoff_0.45,Cluster_at_cutoff_0.5,Cluster_at_cutoff_0.55,Cluster_at_cutoff_0.6,Cluster_at_cutoff_0.65,Cluster_at_cutoff_0.75,Cluster_at_cutoff_0.7,Cluster_at_cutoff_0.8,Cluster_at_cutoff_0.85,Cluster_at_cutoff_0.9,Cluster_at_cutoff_0.95,Cluster_at_cutoff_0.99
FCCOc1ccc2ccccc2c1,39088,5712,38024,7798,3283,1045,927,809,902,612,253,221,28,14,0,0,0
CCN(CC)CCOC(=O)C(C)(O)c1ccc2c(c1)CCCC2.Cl,39087,36479,38023,34124,12605,13673,14404,14180,5573,726,22,1,5,0,0,0,0
CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccc2c(c1)CCCC2.Cl,39086,36478,38022,34123,214,104,66,44,202,2,6,1,0,0,0,0,0
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)[O-])C21.[Na+],2081,5220,3531,7239,9130,10510,11719,5842,5788,6441,4647,6236,1849,70,0,0,0
Brc1cc2c(Br)c(Br)c(Br)c(Br)c2cc1Br,39085,36477,38021,34122,31152,28231,24697,21684,13325,11531,3462,6307,1936,121,56,1,0
CC(C)c1ccc2ccccc2c1,39084,36476,38020,34121,9664,8897,7526,3879,3020,1297,253,221,315,0,0,0,0
ClCC[NH+](CCCl)Cc1cccc2ccccc12.[Cl-],39083,8466,38019,10710,12602,13670,10195,6790,242,128,47,71,28,25,0,0,0
CN(C)CC1C=C(c2ccccc2)c2ccccc2C1.O=C(O)C(=O)O,39082,8470,38018,10712,12604,8899,10197,10704,8951,968,520,856,17,0,0,0,0
CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,2261,5496,3772,7552,9496,10878,1284,1329,3021,2807,47,71,28,25,0,0,0
CCc1cccc2c1C(C[NH2+]CCc1ccccc1)CCC2.O=C([O-])C=CC(=O)O,39081,36475,38017,34120,31151,28230,24696,21683,18202,14074,1258,123,68,1,0,0,0
OCc1ccc2c(c1)C=C(n1ccnc1)CC2,39080,36474,38016,34119,31150,13672,10194,5559,4926,5763,2875,5456,1070,165,12,0,0
COc1c(OCCN2CCCCC2)c(C(O)CCc2ccc(O)cc2)c(OC)c2ccccc12.O,39079,8469,6388,839,116,133,119,54,70,138,1,50,2,1,0,0,0
CC(C)NCC(O)c1ccc2ccccc2c1,4423,8468,6387,10711,12603,13671,14403,307,254,293,164,414,28,0,0,0,0
CC(C)NCC(O)c1ccc2ccccc2c1.Cl,4423,8468,6387,10711,12603,13671,14403,307,254,293,164,414,28,0,0,0,0
O.O.O.OC(CNC1CN2CCC1CC2)c1ccc2ccccc2c1,39078,36473,38015,34118,31149,28229,24695,10701,5431,5703,253,1222,181,73,0,0,0
CCC(C)[NH2+]CC(O)c1ccc2c(c1)CCCC2.[Cl-],39077,36472,38014,6771,5437,4890,3194,4115,2827,2088,787,1350,142,0,0,0,0
CC(C)[NH2+]CC(O)C1CCc2ccccc2C1.[Cl-],39076,36471,38013,34117,31148,28228,24694,21682,18201,5177,1312,6132,641,5,0,0,0
CCCCCCCCNC(C)C(O)c1ccc2c(c1)CCCC2,4422,8467,6386,5972,7515,1600,2520,1884,2733,2088,787,31,3,4,1,0,0
COCc1cccc2ccccc12,39075,36470,38012,34116,31147,28227,2290,465,242,128,47,71,28,25,0,0,0
Cc1cccc2ccccc12,39074,36469,38011,34115,31146,28226,8621,14179,620,128,47,71,28,0,0,0,0
Cc1ccc2ccccc2c1,39073,36468,38010,34114,31145,7174,6573,7500,3020,1297,253,221,115,71,0,0,0
CCN(CCBr)Cc1cccc2ccccc12,4421,1336,6385,2204,1770,2013,1284,465,242,128,47,71,13,5,0,0,0
Br.CCN(CCBr)Cc1cccc2ccccc12,4421,1336,6385,2204,1770,2013,1284,1329,242,128,47,71,13,5,0,0,0
CN(CCBr)Cc1cccc2ccccc12,39072,2215,38009,3397,2401,3352,1284,1329,242,128,47,71,28,8,0,0,0
CCN(CCCl)Cc1cccc2ccccc12,39071,1336,38008,2204,1770,2013,1284,465,242,128,47,71,13,4,0,0,0
CC[NH+](CCCl)Cc1cccc2ccccc12.[Cl-],39070,8466,38007,10710,12602,13670,4610,6790,242,128,47,71,28,15,0,0,0
CC[NH+](CCCl)Cc1ccc2ccccc2c1.[Cl-],39069,36467,38006,34113,31144,28225,24693,2942,8949,5702,253,402,210,14,0,0,0
CN(CCCl)Cc1cccc2ccccc12,39068,2215,38005,3397,2401,3352,1284,1329,242,128,47,71,28,8,0,0,0
Br.CCOc1ccc(CN)c2ccccc12,39067,8465,38004,10709,12601,13669,14401,8371,3215,433,670,3058,418,0,0,0,0
CCOc1ccc(CNC2=NCCO2)c2ccccc12,39066,2214,6384,3396,3282,4394,4580,3857,2462,1177,240,623,28,2,0,0,0
CCN(CCF)Cc1cccc2ccccc12,39065,1336,38003,2204,1770,2013,1284,1329,242,128,47,71,13,5,0,0,0
CN(CCF)Cc1cccc2ccccc12,39064,2215,38002,3397,2401,3352,1284,1329,242,128,47,71,28,8,0,0,0
CCN(CCI)Cc1cccc2ccccc12,39063,1336,38001,2204,1770,2013,1284,1329,242,128,47,71,13,5,0,0,0
CN(CCI)Cc1cccc2ccccc12,39062,2215,38000,3397,1770,2013,1284,1329,242,128,47,71,28,8,0,0,0
CC(C)Oc1ccc(C[NH3+])c2ccccc12.[Br-],39061,36466,37999,34112,31143,28224,10193,8372,8948,8701,1737,2388,265,2,0,0,0
CC(=O)[O-].COc1ccc(C[NH3+])c2ccccc12,39060,36465,37998,34111,31142,28223,10193,5116,2462,3904,29,1710,2,0,0,0,0
Br.COc1ccc(CNC2=NCCO2)c2ccccc12,39059,2214,37997,3396,3282,4394,4580,3857,2462,1177,240,250,28,1,0,0,0
CC(NC1=NCCO1)c1cccc2ccccc12,39058,36464,37996,34110,31141,28222,14402,1929,620,314,47,250,28,1,0,0,0
Br.CCCOc1ccc(CNC2=NCCO2)c2ccccc12,39057,2214,6384,3396,3282,4394,4580,3857,2462,1469,240,623,157,32,0,0,0
Br.CCCOc1ccc(CN)c2ccccc12,39056,8465,37995,10709,12601,13669,14401,8371,4872,1296,420,3058,35,0,0,0,0
c1cc2c(c(CNC3=NCCO3)c1)CCCC2,39055,36463,37994,34109,31140,28221,24692,1176,1856,732,240,623,157,5,14,0,0
Cc1ccc(Cc2cccc3ccccc23)cc1,39054,36462,37993,34108,31139,28220,24691,2911,242,128,47,71,28,15,0,0,0
O=[N+]([O-])c1cccc2ccccc12,39053,36461,37992,34107,31138,28219,24690,10700,8947,387,47,71,28,20,0,0,0
O=[N+]([O-])c1ccc2ccccc2c1,39052,36460,37991,34106,31137,28218,24689,21681,13326,13,13,12,21,12,0,0,0
Brc1cc2c(Br)cc(Br)c(Br)c2cc1Br,39051,36459,37990,34105,31136,28217,24688,21680,13325,11531,3462,8916,1936,121,56,1,0
CCC=C(C)C(O)C(C)C(CC1C(C)=CC2CC(C)CC(C)C2C1(C)C(=O)CC=O)OC1OC(CO)C(O)C(O)C1O,39050,36458,37989,34104,31135,28216,24687,21679,18200,14073,4844,10056,331,70,1,0,0
CC(C)C(CCN(C)C)(Cc1cccc2ccccc12)C(N)=O,39049,36457,37988,34103,31134,8896,10192,122,85,96,47,71,19,0,0,0,0
CC(C)=CC[NH+](CC=C(C)C)CCC(C#N)(Cc1cccc2ccccc12)C(C)C.[Cl-],39048,36456,37987,34102,31133,4434,1772,3882,3022,5182,99,71,159,25,2,0,0
CC(C)C(C#N)(CCN(C)C)Cc1cccc2ccccc12,39047,36455,37986,34101,31132,8896,10192,8370,2023,96,47,71,28,8,2,0,0
CC(C)=CCC(C#N)(CC[NH+](C)C)Cc1cccc2ccccc12.[Cl-],39046,36454,37985,34100,31131,28215,14400,14178,8946,488,99,71,28,25,1,0,0
CCCc1cccc2ccccc12,39045,36453,37984,10708,12600,4432,2290,465,242,128,47,71,28,0,0,0,0
CC(C)C(CCN(C)Cc1ccccc1)c1cccc2ccccc12,39044,36452,37983,2203,2400,1258,2076,751,1863,314,47,77,6,1,0,0,0
CN(CCCc1cccc2ccccc12)Cc1ccccc1,39043,36451,37982,34099,31130,28214,24686,465,1863,128,47,71,13,1,0,0,0
CC[NH+](CC)CCCc1cccc2ccccc12.[Cl-],39042,4033,37981,5772,7513,4432,4610,465,242,128,47,71,28,25,0,0,0
CCN(CC)CCC(c1cccc2ccccc12)C(C)C,39041,2213,37980,2203,2400,1258,732,751,620,314,47,359,11,5,0,0,0
CCC(C)C(CCN(C)C)c1cccc2ccccc12,39040,2213,37979,2203,2400,1258,2076,751,620,314,47,102,28,8,0,0,0
CN(C)CCC(CCN(C)C)c1cccc2ccccc12,39039,8464,6383,10707,7514,1258,753,887,620,314,47,102,28,8,0,0,0
CCC(CCN(C)C)c1cccc2ccccc12,39038,8464,6383,10707,7514,6115,753,887,620,96,47,102,19,0,0,0,0
C[NH+](C)CCCc1cccc2ccccc12.[Cl-],39037,4033,37978,5772,7513,4432,4610,465,242,128,47,71,28,22,0,0,0
CC(C)C(CCN(C)C)c1cccc2ccccc12,39036,2213,37977,2203,2400,1258,732,751,620,314,47,102,28,1,0,0,0
CC[NH+](C)CCCc1cccc2ccccc12.[Cl-],39035,4033,37976,5772,7513,4432,4610,465,242,128,47,71,28,25,0,0,0
CCN(C)CCC(c1cccc2ccccc12)C(C)C,39034,2213,37975,2203,1328,1258,732,751,620,314,47,359,28,25,0,0,0
CC(C)C(C=NCC(CCN(C)Cc1ccccc1)(c1cccc2ccccc12)C(C)C)(CCN(C)Cc1ccccc1)c1cccc2ccccc12,39033,1335,37974,1503,1769,736,817,1471,551,96,99,102,159,14,0,0,0
CCC(C)C(C=NCC(CCN(CC)CC)(c1cccc2ccccc12)C(C)CC)(CCN(CC)CC)c1cccc2ccccc12,39032,2212,1361,2202,750,736,1120,365,370,96,99,91,159,5,0,0,0
CCC(C)C(C=NCC(CCN(C(C)C)C(C)C)(c1cccc2ccccc12)C(C)CC)(CCN(C(C)C)C(C)C)c1cccc2ccccc12,39031,2212,1361,1503,750,736,1120,758,370,96,99,91,159,25,0,0,0
CCCCC(C=NCC(CCCC)(CCN(C)C)c1cccc2ccccc12)(CCN(C)C)c1cccc2ccccc12,39030,821,1360,1046,1325,1574,554,620,766,285,400,102,159,25,3,0,0
CCC(C)C(C=NCC(CCN(C)C)(c1cccc2ccccc12)C(C)CC)(CCN(C)C)c1cccc2ccccc12,4420,2212,1361,2202,750,736,607,758,85,96,99,91,19,8,0,0,0
CCC(C)C(C=NCC(CCN(C)C)(c1ccc2ccccc2c1)C(C)CC)(CCN(C)C)c1ccc2ccccc2c1,39029,36450,37973,34098,4815,6123,7525,6789,3023,2045,253,1387,19,14,0,0,0
CCC(C)C(C=NCC(CCN(C)CC)(c1cccc2ccccc12)C(C)CC)(CCN(C)CC)c1cccc2ccccc12,4420,2212,1361,2202,750,736,1120,758,370,96,99,91,159,25,0,0,0
CCN(CC)CCC(C=NCC(CCN(CC)CC)(CCN(CC)CC)c1cccc2ccccc12)(CCN(CC)CC)c1cccc2ccccc12,39028,821,6382,1046,1325,690,554,620,370,488,400,102,159,5,7,0,0
CCN(CC)CCC(C=NCC(CCN(CC)CC)(c1cccc2ccccc12)C(C)C)(c1cccc2ccccc12)C(C)C,39027,1335,1359,1503,1769,736,817,365,370,96,99,102,159,5,2,0,0
CC(C)N(CCC(C=NCC(CCN(C(C)C)C(C)C)(CCN(C(C)C)C(C)C)c1cccc2ccccc12)(CCN(C(C)C)C(C)C)c1cccc2ccccc12)C(C)C,39026,821,37972,1046,1325,1574,554,620,766,96,99,102,159,25,2,0,0
CN(C)CCC(C=NCC(CCN(C)C)(CCN(C)C)c1cccc2ccccc12)(CCN(C)C)c1cccc2ccccc12,4419,821,1360,1046,1325,690,554,620,766,96,99,102,159,8,3,0,0
CC(C)CC(C=NCC(CCN(C)C)(CC(C)C)c1cccc2ccccc12)(CCN(C)C)c1cccc2ccccc12,39025,36449,37971,1046,4801,1051,1771,1873,766,96,99,102,159,8,2,0,0
CC(C)C(C=NCC(CCN(C)C)(c1cccc2ccccc12)C(C)C)(CCN(C)C)c1cccc2ccccc12,39024,1335,1359,1503,1769,736,607,1471,85,96,99,102,159,8,2,0,0
CCCC(C=NCC(CCN(C)C)(c1ccc2ccccc2c1)C(C)C)(CCN(C)C)c1ccc2ccccc2c1,39023,36448,37970,34097,31129,28213,7525,6789,8945,2045,1012,1387,315,25,0,0,0
CCCC(C=NCC(CCC)(CCN(C)C)c1cccc2ccccc12)(CCN(C)C)c1cccc2ccccc12,4419,821,1360,1046,749,1574,554,620,766,96,400,102,159,25,3,0,0
CCN(C)CCC(C=NCC(CCN(C)CC)(CCN(C)CC)c1cccc2ccccc12)(CCN(C)CC)c1cccc2ccccc12,39022,821,1360,1046,1325,1574,554,620,766,488,400,102,159,25,7,0,0
CCN(C)CCC(C=NCC(CCN(C)CC)(c1cccc2ccccc12)C(C)C)(c1cccc2ccccc12)C(C)C,39021,1335,1359,1503,1769,736,817,365,370,96,99,102,159,25,2,0,0
CC(C)N(CCC(C=NCC(CCN(C(C)C)C(C)C)(c1cccc2ccccc12)C(C)C)(c1cccc2ccccc12)C(C)C)C(C)C,39020,1335,1359,1503,1769,736,817,1471,370,96,99,102,159,25,2,0,0
C[NH+](C)CCCC1(c2ccccc2)CCCc2ccccc21.[Cl-],39019,36447,37969,34096,31128,28212,14399,6788,4871,3280,438,723,269,5,0,0,0
CC(CCN(C)C)c1cccc2ccccc12,39018,36446,37968,34095,2400,1258,753,887,620,314,47,102,28,8,0,0,0
C#CCOc1cccc2ccccc12,39017,36445,37967,34094,31127,13668,1041,720,207,136,47,155,28,25,0,0,0
O=S([O-])c1ccc2cccc(SSSc3cccc4ccc(S(=O)[O-])cc34)c2c1.[Na+].[Na+],39016,36444,37966,34093,31126,28211,24685,21678,18199,14072,5455,10055,2137,25,2,0,0
NCc1ccc(CC(NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCC2)cc1,39015,36443,37965,34092,31125,28210,14398,4325,4081,6922,319,5455,563,6,0,0,0
O=S(=O)(O)c1ccc2ccccc2c1,39014,36442,37964,34091,5963,6114,7523,8368,1369,1297,253,221,28,6,0,0,0
CC(=O)Nc1ccc(N=Nc2c(S(=O)(=O)[O-])cc3cc(NC(=O)Nc4ccc5c(O)c(N=Nc6ccccc6)c(S(=O)(=O)[O-])cc5c4)ccc3c2O)cc1.[Na+].[Na+],2394,5658,3915,7734,3913,2570,2495,2296,799,816,383,975,192,6,0,0,0
Nc1ccc2ccccc2c1S(=O)(=O)O,39013,36441,37963,34090,31124,13663,14393,14174,10772,4730,47,2329,28,0,0,0,0
Nc1ccc(S(=O)(=O)O)c2ccccc12,39012,36440,37962,34089,31123,28209,14397,5558,6055,1997,963,709,247,0,0,0,0
Nc1cccc2c(S(=O)(=O)O)cccc12,39011,36439,37961,34088,9613,10989,6634,5558,4599,1997,963,2663,516,48,0,0,0
Nc1cccc2cc(S(=O)(=O)O)ccc12,39010,36438,37960,34087,31122,28208,14396,8362,8938,1413,963,86,71,3,0,0,0
Nc1ccc2cc(S(=O)(=O)[O-])cc(O)c2c1N=Nc1ccc(-c2ccc(N=Nc3cc(S(=O)(=O)[O-])c4ccccc4c3N)cc2)cc1.[Na+].[Na+],39009,36437,37959,34086,12599,8895,10191,3605,2356,2806,383,657,192,84,3,0,0
CCOc1ccc2cc(S(=O)(=O)O)ccc2c1N,39008,36436,37958,34085,31121,28207,24684,21677,8943,6921,963,2385,35,0,0,0,0
Nc1ccc(S(=O)(=O)O)c2cccc(O)c12,39007,36435,37957,34084,31120,28206,24683,12440,9881,4730,963,2663,544,46,2,0,0
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,39006,36434,37956,34083,31119,13667,7524,6787,4048,4241,161,2385,95,24,1,0,0
Nc1cc(NCCO)ccc1N=Nc1ccc2cc(S(=O)(=O)[O-])c(N=Nc3ccc(Nc4ccc(N=Nc5c(S(=O)(=O)[O-])cc6ccc(N=Nc7ccc(NCCO)cc7N)cc6c5O)cc4S(=O)(=O)[O-])cc3)c(O)c2c1.[Na+].[Na+].[Na+],39005,36433,37955,34082,31118,13665,10190,10699,8944,1410,383,2427,445,84,1,0,0
Nc1ccc2cc(S(=O)(=O)O)ccc2c1CS(=O)(=O)O,39004,36432,37954,34081,31117,28205,24682,14177,8943,6921,963,2329,276,3,0,0,0
O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1.[Na+].[Na+],39003,36431,37953,34080,4800,2570,2495,2296,799,816,383,472,47,6,1,0,0
Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],39002,36430,37952,34079,5871,8895,5182,10698,10771,2806,804,1856,47,84,5,0,0
O=S(=O)(O)c1ccc2cc(N=Nc3ccc(N(CCCl)CCCl)cc3)ccc2c1,39001,36429,37951,34078,12598,13666,14395,14176,8942,5183,148,173,146,13,1,0,0
CC(C)(C)c1ccc2cc(C(C)(C)C)c(S(=O)(=O)[O-])cc2c1.[Na+],39000,36428,37950,34077,31116,28204,24681,21676,18198,14071,4122,10054,1395,46,15,0,0
O=S(=O)([O-])CNc1ccc(N=Nc2ccc3cc(S(=O)(=O)[O-])c(N=Nc4cccc(Nc5ccc(N=Nc6c(S(=O)(=O)[O-])cc7ccc(N=Nc8ccc(NCS(=O)(=O)[O-])cc8NCS(=O)(=O)[O-])cc7c6O)cc5S(=O)(=O)[O-])c4)c(O)c3c2)c(NCS(=O)(=O)[O-])c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],38999,36427,37949,34076,31115,13665,10190,10699,8944,1410,383,2427,445,42,1,0,0
CCCCc1ccc2c(S(=O)(=O)[O-])cc(CCCC)cc2c1.[Na+],38998,8462,37948,10706,12597,13664,14394,14175,6416,3717,1123,1430,128,4,0,0,0
O=C1C=C(S(=O)(=O)[O-])c2ccccc2C1=O.[Na+],38997,36426,37947,34075,31114,28203,24680,21675,18197,305,80,202,47,36,0,0,0
O=c1c(CO)cc(=NNc2ccc(S(=O)(=O)[O-])c3ccccc23)c(=O)c1=NNc1ccc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],38996,36425,37946,34074,31113,28202,24679,21674,12100,10796,804,7816,782,84,2,0,0
CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C.O.O=S(=O)(O)c1ccc2ccccc2c1,4418,8463,6381,2454,3558,4791,5822,6786,5030,6920,253,5454,39,0,0,0,0
CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C.O=S(=O)(O)c1ccc2ccccc2c1,4418,8463,6381,2454,3558,4791,5822,6786,5030,6920,253,5454,39,0,0,0,0
CCCCCCCCCc1ccc2c(S(=O)(=O)[O-])cc(CCCCCCCCC)cc2c1.[NH4+],38995,8462,37945,10706,12597,13664,14394,14175,6416,3717,4,1430,35,4,3,0,0
O=S(=O)(O)c1c(O)ccc2ccccc12,38994,36424,37944,34073,31112,13663,14393,14174,1862,1816,47,657,28,0,0,0,0
O=S(=O)([O-])c1ccc(N=Nc2cc(S(=O)(=O)[O-])c3ccccc3c2O)c2ccccc12.[Na+].[Na+],38993,36423,37943,34072,9751,11134,1201,931,968,1001,804,1047,192,84,5,0,0
O=[N+]([O-])c1ccc2c(N=Nc3ccc4ccccc4c3O)c(O)cc(S(=O)(=O)[O-])c2c1.[Na+],38992,36422,37942,4384,5948,5234,3346,10697,968,1001,661,657,32,12,2,0,0
O=S(=O)([O-])c1cc(O)c(N=Nc2c(O)ccc3ccccc23)c2ccccc12.[Na+],38991,36421,37941,4384,5948,1787,1201,931,968,1001,804,657,192,6,2,0,0
O=S(=O)([O-])c1ccc(N=Nc2c(O)ccc3cc(S(=O)(=O)[O-])ccc23)cc1.[Na+].[Na+],38990,36420,37940,34071,3934,1787,5821,5557,4870,816,383,657,47,84,2,0,0
O=C1C(=Cc2ccc3c(c2)OCO3)CCC2CCCCC12,38989,36419,37939,34070,31111,6519,4816,5556,1264,1375,751,537,84,60,9,0,0
O=S(=O)(O)c1ccc2cc(Nc3cccc4c(O)c(S(=O)(=O)O)ccc34)ccc2c1O,38988,36418,37938,34069,31110,28201,24678,21673,18196,14070,4671,10053,247,30,2,0,0
CC(C)c1cccc2c(S(=O)(=O)[O-])cccc12.[Na+],38987,36417,37937,34068,31109,28200,24677,21672,18195,6618,1610,1319,47,36,2,0,0
O=S(=O)([O-])c1cc2ccccc2cc1Cc1cc2ccccc2cc1S(=O)(=O)[O-].[Hg+2],1569,4032,2672,5771,7512,8894,10189,8369,8941,7754,804,1319,47,25,0,0,0
O=S(=O)([O-])c1cc2ccccc2cc1Cc1cc2ccccc2cc1S(=O)(=O)[O-].[K+].[K+],1569,4032,2672,5771,7512,8894,10189,8369,8941,7754,804,1319,47,25,0,0,0
O=S(=O)([O-])c1cc2ccccc2cc1Cc1cc2ccccc2cc1S(=O)(=O)[O-].[Ag+].[Ag+],1569,4032,2672,5771,7512,8894,10189,8369,8941,7754,804,1319,47,25,0,0,0
O=S(=O)([O-])c1ccc2ccccc2c1.[Na+],38986,36416,37936,34067,5963,6114,7523,8368,6415,1297,80,221,28,36,0,0,0
CC1(S(=O)(=O)[O-])CC(=O)c2ccccc2C1=O.[Na+],4417,8461,6380,10705,12596,13662,14392,14173,13324,11530,163,6956,47,6,0,0,0
CC1(S(=O)(=O)[O-])CC(=O)c2ccccc2C1=O.O.O.O.[Na+],4417,8461,6380,10705,12596,13662,14392,14173,13324,11530,2406,6956,47,8,0,0,0
N#[N+]c1ccc2c(S(=O)(=O)Cl)cccc2c1[O-],38985,36415,37935,7742,9724,11107,8849,9593,9930,8700,4386,2663,844,493,4,0,0
CN(C)c1cccc2c(S(=O)(=O)Cl)cccc12,38984,36414,37934,34066,31108,28199,24676,9304,8143,5944,2071,2663,844,6,0,0,0
Brc1cc2cc(Br)c(Br)cc2cc1Br,38983,36413,37933,34065,31107,28198,24675,21671,18194,9922,2676,2808,329,121,25,0,0
O=C(O)c1ccc(C(=O)O)c2c(C(=O)O)ccc(C(=O)O)c12,38982,36412,37932,34064,31106,28197,24674,9054,5866,747,17,655,65,0,0,0,0
O=C1OC(=O)c2ccc3c4c(ccc1c24)C(=O)OC3=O,38981,36411,37931,34063,9728,11113,10188,6783,7546,3465,2934,3529,1372,54,4,0,0
c1ccc2c(c1)CCCC2,38980,5373,37930,7411,9338,10720,11934,12169,11896,3106,650,478,91,5,0,0,0
CN(C)C1CCc2ccccc2C1OCc1ccccc1,38979,36410,37929,34062,31105,28196,24673,6781,6411,11529,192,478,43,1,0,0,0
CN(C)CCC1(C)CCCc2ccccc21,38978,36409,37928,34061,12595,13661,10187,6785,2265,290,88,1271,56,5,0,0,0
CC1CCc2ccccc2C1(C)CCN(C)C,38977,36408,37927,34060,12594,13660,10196,10702,2265,1373,88,1776,56,5,0,0,0
CCc1ccc2c(c1)C(C)(C)CCC2(C)C,38976,36407,37926,34059,31104,28195,24672,21670,18193,9921,3783,6544,206,75,0,0,0
CC1CCCc2ccccc21,38975,36406,37925,34058,31103,28194,24671,5551,4869,455,58,478,43,5,0,0,0
Sc1ccc2ccccc2c1,38974,36405,37924,34057,31102,28193,24670,21669,3020,1297,253,221,315,73,0,0,0
Nc1cc2c(S(=O)(=O)O)cc(S(=O)(=O)O)cc2cc1S(=O)(=O)O,38973,36404,37923,34056,31101,11035,12248,10696,6040,4241,963,2385,451,102,6,0,0
O=S(=O)([O-])c1cc(S(=O)(=O)[O-])c2c(N=Nc3ccc(S(=O)(=O)[O-])c4ccccc34)c(O)c(S(=O)(=O)[O-])cc2c1.[Na+].[Na+].[Na+].[Na+],38972,36403,37922,10704,7511,8893,10186,931,968,1001,383,657,192,36,5,0,0
Oc1c(CC2CC3CC[NH+]2CC3)ccc2ccccc12.[Cl-],38971,36402,37921,34055,31100,28192,24669,21668,18192,14069,2212,8915,28,20,0,0,0
Oc1ccc(Nc2ccc(N(CCCl)CCCl)cc2)c2ccccc12,38970,36401,37920,34054,31099,28191,24668,3409,4395,5181,148,173,333,5,2,0,0
OC1C(=Cc2ccc3c(c2)OCO3)CCC2CCCCC21,38969,36400,37919,34053,31098,6522,3817,2515,3374,1128,225,537,84,60,0,0,0
C=C1CCCC(C)(C)C1CCC(C)=CCCC1C(C)(O)CCC2C(C)(C)CCCC21C,38968,36399,37918,34052,31097,28190,24667,21667,18191,10640,3630,8914,2054,496,19,0,0
CC(C)C1CCC2CC(O)CCC2C1,38967,36398,37917,34051,31096,28189,24666,21666,18190,4812,2516,8913,2237,459,19,0,0
Cl.OC1CC2CCCCC2CC1N1CCC(c2ccccc2)CC1,38966,36397,37916,34050,31095,28188,10185,10695,4414,279,56,239,248,6,0,0,0
CN1c2ccccc2C(c2ccc3ccccc3c2O)c2ccccc21,38965,36396,37915,34049,31094,28187,24665,10541,10653,9839,47,4918,28,8,0,0,0
CNC(=O)Oc1cccc2ccccc12.COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1.ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,38964,2848,37914,4301,1901,1666,2170,2292,2284,1381,324,352,28,0,0,0,0
CC(=O)Oc1ccc2ccccc2c1C=CC=Nc1ccccc1,38963,36395,37913,34048,11399,12665,13624,6720,7482,9920,2405,6955,28,0,0,0,0
[Na+].[O-]c1ccc2ccccc2c1,38962,36394,37912,34047,31093,28186,24664,21665,3020,1297,253,221,315,38,0,0,0
OC1CCc2ccccc2C1NC1=NCCS1,38961,36393,37911,34046,31092,28185,24663,21664,10046,11528,503,1305,43,5,0,0,0
Oc1ccc2ccccc2c1CCc1nn[nH]n1,38960,36392,37910,34045,31091,28184,24662,3330,1862,1816,735,1386,462,15,2,0,0
N=C1C=C(Br)C(=O)c2c(N)cc(Br)c(O)c21,38959,36391,37909,34044,31090,28183,24661,21663,18189,14068,2185,8106,1462,522,26,0,0
NC1=CC(=[NH2+])c2ccccc2C1=O.[Cl-],38958,36390,37908,34043,31089,28182,24660,21662,18188,305,163,202,187,0,0,0,0
O=C1C=CC(=Nc2ccc(N(CCCl)CCCl)cc2)c2ccccc21,38957,36389,37907,34042,31088,28181,8169,8966,3922,6275,148,173,333,8,0,0,0
CC(C)(C)c1cc(C=C2CCc3ccccc3C2=O)cc(C(C)(C)C)c1O,38956,36388,37906,34041,31087,2569,2493,1470,1264,2805,501,3443,91,5,0,0,0
O=C1C(=Cc2ccc3c(c2)OCO3)CCc2ccccc21,38955,36387,37905,34040,31086,28180,3678,1470,1264,166,225,537,84,54,0,0,0
O=C1C(=Cc2ccc(-c3ccccc3)cc2)CCc2ccccc21,38954,36386,37904,3395,3281,2569,2493,1470,1264,2805,642,3443,40,6,0,0,0
CC(C)(C)NCC(O)COc1cccc2c1CCCC2=O,4416,8460,6379,10703,12593,13659,2815,181,76,80,35,69,29,0,0,0,0
CC(C)(C)NCC(O)COc1cccc2c1CCCC2=O.Cl,4416,8460,6379,10703,12593,13659,2815,181,76,80,252,24,29,0,0,0,0
O=C1c2cc(Cl)ccc2CCC1C[NH+]1CCCCC1.[Cl-],38953,36385,37903,34039,7509,4431,3677,2871,2461,2602,170,3087,80,21,0,0,0
